ENSMUSG00000021196|Pfkp
ENSMUSG00000024008|Cpne5
ENSMUSG00000041775|Mapk1ip1
ENSMUSG00000050357|Carmil2
ENSMUSG00000004267|Eno2
ENSMUSG00000102215|Gm2464
ENSMUSG00000021066|Atl1
ENSMUSG00000037217|Syn1
ENSMUSG00000022044|Stmn4
ENSMUSG00000053522|Lgals7
ENSMUSG00000045007|Tubg2
