ENSMUSG00000046667|Rbm12b1
ENSMUSG00000034042|Gpbp1l1
ENSMUSG00000021022|Ppp2r3c
ENSMUSG00000001767|Crnkl1
ENSMUSG00000033972|Zfp944
ENSMUSG00000041483|Zfp281
ENSMUSG00000075000|Nrbf2
ENSMUSG00000071253|Slc25a16
ENSMUSG00000019818|Cd164
ENSMUSG00000042472|Zfp410
ENSMUSG00000006127|Inpp5k
