ENSMUSG00000010453|Kansl3
ENSMUSG00000037622|Wdtc1
ENSMUSG00000029763|Exoc4
ENSMUSG00000028760|Eif4g3
ENSMUSG00000002028|Kmt2a
ENSMUSG00000055296|Tmem245
ENSMUSG00000040502|March9
ENSMUSG00000020790|Ankfy1
ENSMUSG00000037487|Ubr5
ENSMUSG00000024515|Smad4
ENSMUSG00000024220|Zfp523
