ENSMUSG00000041506|Rrp9
ENSMUSG00000004069|Dnaja3
ENSMUSG00000062580|Timm17a
ENSMUSG00000062397|Zfp706
ENSMUSG00000049950|Rpp38
ENSMUSG00000005813|Metap1
ENSMUSG00000029642|Polr1d
ENSMUSG00000031924|Cyb5b
ENSMUSG00000032977|Fam207a
ENSMUSG00000032898|Fbxo21
ENSMUSG00000024446|Rpp21
