ENSMUSG00000006850|Tmco6
ENSMUSG00000028329|Xpa
ENSMUSG00000024831|Ighmbp2
ENSMUSG00000014426|Map3k4
ENSMUSG00000022761|Lztr1
ENSMUSG00000023284|Zfp605
ENSMUSG00000028397|Kdm4c
ENSMUSG00000035900|Gramd4
ENSMUSG00000025451|Paip1
ENSMUSG00000029557|Mrm2
ENSMUSG00000030960|Eef1akmt2
