ENSMUSG00000059475|Zfp426
ENSMUSG00000025578|Cbx8
ENSMUSG00000025246|Tbl1x
ENSMUSG00000022228|Zscan26
ENSMUSG00000089998|Phtf1os
ENSMUSG00000048756|Foxo3
ENSMUSG00000032353|Tmed3
ENSMUSG00000030471|Zdhhc13
ENSMUSG00000055067|Smyd3
ENSMUSG00000031010|Usp9x
ENSMUSG00000019795|Pcmt1
