ENSMUSG00000018474|Chd3
ENSMUSG00000026888|Grb14
ENSMUSG00000007021|Syngr3
ENSMUSG00000036578|Fxyd7
ENSMUSG00000071078|Nr2c2ap
ENSMUSG00000027612|Mmp24
ENSMUSG00000027712|Anxa5
ENSMUSG00000055862|Izumo4
ENSMUSG00000028444|Cntfr
ENSMUSG00000000120|Ngfr
ENSMUSG00000007207|Stx1a
