ENSMUSG00000025371|Chmp6
ENSMUSG00000024855|Pacs1
ENSMUSG00000074211|Sdhaf1
ENSMUSG00000042632|Pla2g6
ENSMUSG00000042737|Dpm3
ENSMUSG00000039427|Alg1
ENSMUSG00000026457|Adipor1
ENSMUSG00000036073|Galt
ENSMUSG00000001089|Luzp1
ENSMUSG00000024969|Mark2
ENSMUSG00000016344|Ppdpf
