ENSMUSG00000031770|Herpud1
ENSMUSG00000087687|Pet100
ENSMUSG00000043733|Ptpn11
ENSMUSG00000038650|Rnh1
ENSMUSG00000024570|Rbfa
ENSMUSG00000020225|Tmbim4
ENSMUSG00000008036|Ap2s1
ENSMUSG00000028821|Syf2
ENSMUSG00000003559|As3mt
ENSMUSG00000086013|Gm15706
ENSMUSG00000015839|Nfe2l2
