ENSMUSG00000024381|Bin1
ENSMUSG00000096472|Cdkn2d
ENSMUSG00000020634|Ubxn2a
ENSMUSG00000034595|Ppp1r18
ENSMUSG00000056145|AI504432
ENSMUSG00000039384|Dusp10
ENSMUSG00000026202|Tuba4a
ENSMUSG00000050965|Prkca
ENSMUSG00000021868|Ppif
ENSMUSG00000048376|F2r
ENSMUSG00000046722|Cdc42se1
