ENSMUSG00000024493|Lars
ENSMUSG00000024556|Me2
ENSMUSG00000018572|Phf23
ENSMUSG00000031197|Vbp1
ENSMUSG00000001134|Uxt
ENSMUSG00000032040|Dcps
ENSMUSG00000030619|Eed
ENSMUSG00000000902|Smarcb1
ENSMUSG00000047649|Cd3eap
ENSMUSG00000020091|Eif4ebp2
ENSMUSG00000031935|Med17
