ENSMUSG00000049751|Rpl36al
ENSMUSG00000001642|Akr1b3
ENSMUSG00000078974|Sec61g
ENSMUSG00000044221|Grsf1
ENSMUSG00000017723|Wfdc2
ENSMUSG00000015112|Slc25a13
ENSMUSG00000028019|Pdgfc
ENSMUSG00000052155|Acvr2a
ENSMUSG00000032348|Gsta4
ENSMUSG00000044220|Nkx2-3
ENSMUSG00000051255|Gm6563
