ENSMUSG00000015189|Casd1
ENSMUSG00000053414|Hunk
ENSMUSG00000086212|Mkln1os
ENSMUSG00000093803|Ppp2r3d
ENSMUSG00000021993|Mipep
ENSMUSG00000090258|Churc1
ENSMUSG00000034501|Pcnx4
ENSMUSG00000066643|Wdr35
ENSMUSG00000019971|Cep290
ENSMUSG00000016637|Ift27
ENSMUSG00000027673|Ndufb5
