ENSMUSG00000033545|Znrf1
ENSMUSG00000031214|Ophn1
ENSMUSG00000034892|Rps29
ENSMUSG00000035152|Ap2b1
ENSMUSG00000079523|Tmsb10
ENSMUSG00000026499|Acbd3
ENSMUSG00000022462|Slc38a2
ENSMUSG00000057322|Rpl38
ENSMUSG00000025103|Btbd1
ENSMUSG00000063897|CAAA01118383.1
ENSMUSG00000028436|Dcaf12
