ENSMUSG00000025226|Fbxl15
ENSMUSG00000029166|Mapre3
ENSMUSG00000009030|Pdcl
ENSMUSG00000057594|Arl16
ENSMUSG00000002625|Akap8l
ENSMUSG00000042104|Uggt2
ENSMUSG00000091811|Inafm1
ENSMUSG00000039530|Tusc3
ENSMUSG00000038500|Prr3
ENSMUSG00000022561|Gpaa1
ENSMUSG00000021076|Actr10
