ENSMUSG00000072825|Cep170b
ENSMUSG00000095789|Nupr1l
ENSMUSG00000033364|Usp37
ENSMUSG00000007617|Homer1
ENSMUSG00000035545|Leng8
ENSMUSG00000035342|Lzts2
ENSMUSG00000031608|Galnt7
ENSMUSG00000028407|Smim27
ENSMUSG00000025477|Inpp5a
ENSMUSG00000020176|Grb10
ENSMUSG00000020886|Dlg4
