ENSMUSG00000038683|Pak1ip1
ENSMUSG00000028243|Ubxn2b
ENSMUSG00000025651|Uqcrc1
ENSMUSG00000027133|Nop10
ENSMUSG00000025648|Pfkfb4
ENSMUSG00000027746|Ufm1
ENSMUSG00000025495|Ptdss2
ENSMUSG00000026083|Eif5b
ENSMUSG00000026999|Nup35
ENSMUSG00000026087|Mrpl30
ENSMUSG00000026019|Wdr12
