ENSMUSG00000032394|Igdcc3
ENSMUSG00000036422|Pcdh8
ENSMUSG00000028664|Ephb2
ENSMUSG00000054256|Msi1
ENSMUSG00000028282|Casp8ap2
ENSMUSG00000066687|Zbtb16
ENSMUSG00000035649|Zcchc7
ENSMUSG00000057967|Fgf18
ENSMUSG00000003070|Efna2
ENSMUSG00000028884|Rpa2
ENSMUSG00000031299|Pdha1
