ENSMUSG00000054034|Tceal5
ENSMUSG00000015377|Dennd6b
ENSMUSG00000023912|Slc25a27
ENSMUSG00000071531|Gprin2
ENSMUSG00000072640|Lyrm9
ENSMUSG00000073295|Nudt11
ENSMUSG00000045348|Nyap1
ENSMUSG00000039838|Slc45a1
ENSMUSG00000053046|Brsk2
ENSMUSG00000053297|AI854703
ENSMUSG00000032959|Pebp1
