ENSMUSG00000054423|Cadps
ENSMUSG00000048747|E130114P18Rik
ENSMUSG00000031167|Rbm3
ENSMUSG00000066607|6030419C18Rik
ENSMUSG00000043262|Uevld
ENSMUSG00000023411|Nfatc4
ENSMUSG00000042372|Dmrt3
ENSMUSG00000061607|Mdc1
ENSMUSG00000038602|Slc35f1
ENSMUSG00000047143|Dmrta2
ENSMUSG00000038717|Atp5l
