ENSMUSG00000025212|Sfxn3
ENSMUSG00000073888|Ccl27a
ENSMUSG00000017943|Gdap1l1
ENSMUSG00000018012|Rac3
ENSMUSG00000042109|Csdc2
ENSMUSG00000030729|Pgm2l1
ENSMUSG00000029861|Fam131b
ENSMUSG00000000627|Sema4f
ENSMUSG00000016346|Kcnq2
ENSMUSG00000025855|Prkar1b
ENSMUSG00000021301|Hecw1
