ENSMUSG00000021047|Nova1
ENSMUSG00000024921|Smarca2
ENSMUSG00000054871|Tmem158
ENSMUSG00000030077|Chl1
ENSMUSG00000086328|2700033N17Rik
ENSMUSG00000016150|Tenm1
ENSMUSG00000031367|Ap1s2
ENSMUSG00000029436|Mmp17
ENSMUSG00000033316|Galnt9
ENSMUSG00000038718|Pbx3
ENSMUSG00000032087|Dscaml1
