ENSMUSG00000041781|Cpsf2
ENSMUSG00000024026|Glo1
ENSMUSG00000062456|Rpl9-ps6
ENSMUSG00000029387|Gtf2h3
ENSMUSG00000027597|Ahcy
ENSMUSG00000002870|Mcm2
ENSMUSG00000021175|Cdca7l
ENSMUSG00000027203|Dut
ENSMUSG00000004018|Fancl
ENSMUSG00000029730|Mcm7
ENSMUSG00000041859|Mcm3
