ENSMUSG00000023150|Ivns1abp
ENSMUSG00000045752|Tssc4
ENSMUSG00000025358|Cdk2
ENSMUSG00000035198|Tubg1
ENSMUSG00000049539|Hist1h1a
ENSMUSG00000031697|Orc6
ENSMUSG00000030016|Zfp638
ENSMUSG00000028212|Ccne2
ENSMUSG00000031629|Cenpu
ENSMUSG00000033596|Rfwd3
ENSMUSG00000030346|Rad51ap1
