ENSMUSG00000039656|Rxrb
ENSMUSG00000040738|Ints8
ENSMUSG00000028668|Eloa
ENSMUSG00000040033|Stat2
ENSMUSG00000021258|Ccnk
ENSMUSG00000039967|Zfp292
ENSMUSG00000026849|Tor1a
ENSMUSG00000026848|Tor1b
ENSMUSG00000030314|Atg7
ENSMUSG00000042015|Wdr41
ENSMUSG00000026388|3110009E18Rik
