ENSMUSG00000020524|Gria1
ENSMUSG00000003279|Dlgap1
ENSMUSG00000030209|Grin2b
ENSMUSG00000024617|Camk2a
ENSMUSG00000021198|Unc79
ENSMUSG00000020684|Rasl10b
ENSMUSG00000056296|Synpr
ENSMUSG00000046442|Ppm1e
ENSMUSG00000052572|Dlg2
ENSMUSG00000032356|Rasgrf1
ENSMUSG00000026824|Kcnj3
