ENSMUSG00000025986|Slc39a10
ENSMUSG00000032041|Tirap
ENSMUSG00000022967|Ifnar1
ENSMUSG00000015837|Sqstm1
ENSMUSG00000008384|Sertad1
ENSMUSG00000057637|Prdm2
ENSMUSG00000024773|Atg2a
ENSMUSG00000053581|Zfand2a
ENSMUSG00000039046|Usp6nl
ENSMUSG00000019944|Rhobtb1
ENSMUSG00000050914|Ankrd37
