ENSMUSG00000028933|Xrcc2
ENSMUSG00000036961|Wnt8b
ENSMUSG00000024869|Nudt8
ENSMUSG00000096935|1700113A16Rik
ENSMUSG00000038368|Focad
ENSMUSG00000101355|Hist1h3h
ENSMUSG00000005973|Rcn1
ENSMUSG00000020811|Wscd1
ENSMUSG00000038515|Grtp1
ENSMUSG00000029838|Ptn
ENSMUSG00000055652|Klhl25
