ENSMUSG00000024309|Pfdn6
ENSMUSG00000021771|Vdac2
ENSMUSG00000026798|Coq4
ENSMUSG00000022858|Tra2b
ENSMUSG00000027531|Impa1
ENSMUSG00000029610|Aimp2
ENSMUSG00000037149|Ddx1
ENSMUSG00000027405|Nop56
ENSMUSG00000066979|Bub3
ENSMUSG00000027404|Snrpb
ENSMUSG00000068749|Psma5
