ENSMUSG00000021660|Btf3
ENSMUSG00000063524|Eno1
ENSMUSG00000061474|Mrps36
ENSMUSG00000028609|Magoh
ENSMUSG00000004455|Ppp1cc
ENSMUSG00000071866|Ppia
ENSMUSG00000022283|Pabpc1
ENSMUSG00000014767|Tbp
ENSMUSG00000045996|Polr2k
ENSMUSG00000058064|Gm10036
ENSMUSG00000027944|Hax1
