ENSMUSG00000055202|Zfp811
ENSMUSG00000072235|Tuba1a
ENSMUSG00000022054|Nefm
ENSMUSG00000040721|Zfhx2
ENSMUSG00000034936|Arl4d
ENSMUSG00000026188|Tmem169
ENSMUSG00000009551|6330409D20Rik
ENSMUSG00000032172|Olfm2
ENSMUSG00000043004|Gng2
ENSMUSG00000036158|Prickle1
ENSMUSG00000052852|Reep1
