ENSMUSG00000022179|4931414P19Rik
ENSMUSG00000045822|Zswim3
ENSMUSG00000045795|Whamm
ENSMUSG00000033032|Afap1l1
ENSMUSG00000079083|Jrkl
ENSMUSG00000097047|1110020A21Rik
ENSMUSG00000061482|Hist1h4d
ENSMUSG00000047767|Atg16l2
ENSMUSG00000034126|Pomt2
ENSMUSG00000048581|E130311K13Rik
ENSMUSG00000020272|Stk10
