ENSMUSG00000023110|Prmt5
ENSMUSG00000032563|Mrpl3
ENSMUSG00000047721|Bola2
ENSMUSG00000001964|Emd
ENSMUSG00000028741|Mrto4
ENSMUSG00000053293|Pom121
ENSMUSG00000001909|Trmt1
ENSMUSG00000027324|Rpusd2
ENSMUSG00000056394|Lig1
ENSMUSG00000044763|Trmt10c
ENSMUSG00000025001|Hells
