ENSMUSG00000056895|Hist3h2ba
ENSMUSG00000047496|Rnf152
ENSMUSG00000060780|Lrrtm1
ENSMUSG00000027419|Pcsk2
ENSMUSG00000094958|3110021N24Rik
ENSMUSG00000046447|Camk2n1
ENSMUSG00000038390|Gpr162
ENSMUSG00000021991|Cacna2d3
ENSMUSG00000042401|Crtac1
ENSMUSG00000049583|Grm5
ENSMUSG00000057716|Tmem178b
