ENSMUSG00000021759|Plpp1
ENSMUSG00000008398|Elk3
ENSMUSG00000058325|Dock1
ENSMUSG00000021701|Plk2
ENSMUSG00000037936|Scarb1
ENSMUSG00000039706|Ldb2
ENSMUSG00000054720|Lrrc8c
ENSMUSG00000022587|Ly6e
ENSMUSG00000056121|Fez2
ENSMUSG00000030208|Emp1
ENSMUSG00000022895|Ets2
