ENSMUSG00000041997|Tlk1
ENSMUSG00000028709|Mob3c
ENSMUSG00000030890|Ilk
ENSMUSG00000042198|Chchd7
ENSMUSG00000046516|Cox17
ENSMUSG00000021973|Micu2
ENSMUSG00000024101|Washc1
ENSMUSG00000049489|Fam58b
ENSMUSG00000061751|Kalrn
ENSMUSG00000040811|Eml2
ENSMUSG00000027835|Pdcd10
