ENSMUSG00000086587|Gm11837
ENSMUSG00000027676|Ccdc39
ENSMUSG00000031952|Chst5
ENSMUSG00000048772|Tmem53
ENSMUSG00000018509|Cenpv
ENSMUSG00000000085|Scmh1
ENSMUSG00000063810|Alms1
ENSMUSG00000078439|Smim24
ENSMUSG00000057265|Bbof1
ENSMUSG00000025757|Hspa4l
ENSMUSG00000037965|Zc3h7a
