ENSMUSG00000038622|Med30
ENSMUSG00000054716|Zfp771
ENSMUSG00000034278|Dnajc17
ENSMUSG00000020166|Cnot2
ENSMUSG00000032178|Ilf3
ENSMUSG00000037935|Smarce1
ENSMUSG00000021266|Wars
ENSMUSG00000068882|Ssb
ENSMUSG00000024045|Akap8
ENSMUSG00000066551|Hmgb1
ENSMUSG00000059070|Rpl18
