ENSMUSG00000002871|Tpra1
ENSMUSG00000032251|Irak1bp1
ENSMUSG00000026103|Gls
ENSMUSG00000051469|Zfp24
ENSMUSG00000028461|Ccdc107
ENSMUSG00000026082|Rev1
ENSMUSG00000037315|Jade3
ENSMUSG00000021917|Spcs1
ENSMUSG00000047141|Zfp654
ENSMUSG00000045248|Med26
ENSMUSG00000026492|Tfb2m
