ENSMUSG00000034473|Sec22a
ENSMUSG00000020283|Pex13
ENSMUSG00000027180|Fbxo3
ENSMUSG00000000838|Fmr1
ENSMUSG00000030166|Rad52
ENSMUSG00000002052|Supt6
ENSMUSG00000050786|Ccdc126
ENSMUSG00000068479|Mfap1a
ENSMUSG00000024253|Dync2li1
ENSMUSG00000022787|Wdr53
ENSMUSG00000074220|Zfp382
