ENSMUSG00000035559|Mpv17l2
ENSMUSG00000042436|Mfap4
ENSMUSG00000026821|Ralgds
ENSMUSG00000022856|Tmem41a
ENSMUSG00000037166|Ppp1r14a
ENSMUSG00000025789|St8sia2
ENSMUSG00000034701|Neurod1
ENSMUSG00000071516|Hist1h2ai
ENSMUSG00000033751|Gadd45gip1
ENSMUSG00000023074|Mospd1
ENSMUSG00000044707|Ccnjl
