ENSMUSG00000028293|Slc35a1
ENSMUSG00000012535|Tnpo3
ENSMUSG00000020755|Sap30bp
ENSMUSG00000032547|Ryk
ENSMUSG00000021103|Mnat1
ENSMUSG00000020803|Txndc17
ENSMUSG00000025917|Cops5
ENSMUSG00000029234|Tmem165
ENSMUSG00000041084|Ostc
ENSMUSG00000021537|Cetn3
ENSMUSG00000022757|Tfg
