ENSMUSG00000061689|Dlgap4
ENSMUSG00000050890|Pdik1l
ENSMUSG00000022159|Rab2b
ENSMUSG00000003199|Mpnd
ENSMUSG00000051864|Tbc1d22a
ENSMUSG00000040820|Hlcs
ENSMUSG00000025019|Lcor
ENSMUSG00000006906|Stambp
ENSMUSG00000047264|Zfp358
ENSMUSG00000030330|Ing4
ENSMUSG00000033760|Rbm4b
