ENSMUSG00000031327|Chic1
ENSMUSG00000046603|Tcaim
ENSMUSG00000094441|Zfp955a
ENSMUSG00000095325|Zfp870
ENSMUSG00000003575|Crtc1
ENSMUSG00000030061|Uba3
ENSMUSG00000011752|Pgam1
ENSMUSG00000039382|Wdr45
ENSMUSG00000027447|Cst3
ENSMUSG00000023919|Cenpq
ENSMUSG00000005949|Ctns
