ENSMUSG00000022656|Nectin3
ENSMUSG00000032231|Anxa2
ENSMUSG00000041012|Cmtm8
ENSMUSG00000078670|Fam174b
ENSMUSG00000039385|Cdh6
ENSMUSG00000063446|Plppr1
ENSMUSG00000039787|Cercam
ENSMUSG00000031099|Smarca1
ENSMUSG00000030064|Frmd4b
ENSMUSG00000029309|Sparcl1
ENSMUSG00000024593|Megf10
