ENSMUSG00000090266|Mettl23
ENSMUSG00000012076|Brms1l
ENSMUSG00000046329|Slc25a23
ENSMUSG00000012114|Med15
ENSMUSG00000030647|Ndufc2
ENSMUSG00000041935|AW549877
ENSMUSG00000037251|Pomk
ENSMUSG00000004931|Apba3
ENSMUSG00000029208|Guf1
ENSMUSG00000043257|Pigv
ENSMUSG00000002968|Med25
