ENSMUSG00000022346|Myc
ENSMUSG00000042515|Mum1l1
ENSMUSG00000021569|Trip13
ENSMUSG00000022641|Bbx
ENSMUSG00000000561|Wdr77
ENSMUSG00000053801|Grwd1
ENSMUSG00000006732|Mettl1
ENSMUSG00000043866|Taf10
ENSMUSG00000020116|Pno1
ENSMUSG00000039682|Lap3
ENSMUSG00000030796|Tead2
