ENSMUSG00000074575|Kcng1
ENSMUSG00000013846|St3gal1
ENSMUSG00000031841|Cdh13
ENSMUSG00000037984|Neurod6
ENSMUSG00000022965|Ifngr2
ENSMUSG00000021743|Fezf2
ENSMUSG00000052135|Foxo6
ENSMUSG00000041540|Sox5
ENSMUSG00000027692|Tnik
ENSMUSG00000040136|Abcc8
ENSMUSG00000062184|Hs6st2
