ENSMUSG00000028063|Lmna
ENSMUSG00000067369|Trmt2b
ENSMUSG00000078202|Nrarp
ENSMUSG00000067818|Myl9
ENSMUSG00000037148|Arhgap10
ENSMUSG00000029544|Cabp1
ENSMUSG00000023034|Nr4a1
ENSMUSG00000037060|Cavin3
ENSMUSG00000030782|Tgfb1i1
ENSMUSG00000033306|Lpp
ENSMUSG00000034640|Tiparp
