ENSMUSG00000038733|Wdr26
ENSMUSG00000029407|Uso1
ENSMUSG00000027244|Atg13
ENSMUSG00000038538|Ubn2
ENSMUSG00000038615|Nfe2l1
ENSMUSG00000007659|Bcl2l1
ENSMUSG00000026924|Sec16a
ENSMUSG00000032637|Atxn2l
ENSMUSG00000023235|Ccl25
ENSMUSG00000024400|Wdr33
ENSMUSG00000048833|Slc39a9
