ENSMUSG00000022322|Shcbp1
ENSMUSG00000036676|Tmtc3
ENSMUSG00000026942|Traf2
ENSMUSG00000036840|Siah1a
ENSMUSG00000037262|Kin
ENSMUSG00000017499|Cdc6
ENSMUSG00000035125|Gcfc2
ENSMUSG00000029676|Pot1a
ENSMUSG00000045751|Mms22l
ENSMUSG00000038268|Ovca2
ENSMUSG00000053600|Zfp472
