ENSMUSG00000041773|Enc1
ENSMUSG00000055013|Agap1
ENSMUSG00000037949|Ano10
ENSMUSG00000020135|Apc2
ENSMUSG00000036766|Dner
ENSMUSG00000045008|9030612E09Rik
ENSMUSG00000029998|Pcyox1
ENSMUSG00000039114|Nrn1
ENSMUSG00000029121|Crmp1
ENSMUSG00000025478|Dpysl4
ENSMUSG00000015222|Map2
