ENSMUSG00000018906|P4ha2
ENSMUSG00000096768|Gm47283
ENSMUSG00000002900|Lamb1
ENSMUSG00000070436|Serpinh1
ENSMUSG00000010830|Kdelr3
ENSMUSG00000021765|Fst
ENSMUSG00000018593|Sparc
ENSMUSG00000079111|Kdelr2
ENSMUSG00000006378|Gcat
ENSMUSG00000023905|Tnfrsf12a
ENSMUSG00000034424|Gcsh
