ENSMUSG00000030528|Blm
ENSMUSG00000034820|Cpsf7
ENSMUSG00000047824|Pygo2
ENSMUSG00000036980|Taf6
ENSMUSG00000012117|Dhdds
ENSMUSG00000003226|Ranbp2
ENSMUSG00000020088|Sar1a
ENSMUSG00000042705|Commd10
ENSMUSG00000027006|Dnajc10
ENSMUSG00000012422|Tmem167
ENSMUSG00000032458|Copb2
