ENSMUSG00000101972|Hist1h3i
ENSMUSG00000036246|Gmip
ENSMUSG00000056069|Fam105a
ENSMUSG00000004207|Psap
ENSMUSG00000035202|Lars2
ENSMUSG00000042082|Arsb
ENSMUSG00000048897|Zfp710
ENSMUSG00000004508|Gab2
ENSMUSG00000037344|Slc12a9
ENSMUSG00000039936|Pik3cd
ENSMUSG00000000628|Hk2
