ENSMUSG00000058709|Egln2
ENSMUSG00000061461|Smim20
ENSMUSG00000037710|Cisd1
ENSMUSG00000026878|Rab14
ENSMUSG00000035949|Fbxw2
ENSMUSG00000032239|Rp9
ENSMUSG00000018965|Ywhah
ENSMUSG00000002580|Mien1
ENSMUSG00000028252|Ccnc
ENSMUSG00000044308|Ubr3
ENSMUSG00000075467|Dnlz
