ENSMUSG00000030279|C2cd5
ENSMUSG00000034525|Ice1
ENSMUSG00000057506|Bloc1s2
ENSMUSG00000031691|Tnpo2
ENSMUSG00000086316|Nbdy
ENSMUSG00000041571|Selenow
ENSMUSG00000021096|Ppm1a
ENSMUSG00000063015|Ccni
ENSMUSG00000039285|Azi2
ENSMUSG00000056629|Fkbp2
ENSMUSG00000109398|Gm3854
