ENSMUSG00000020638|Cmpk2
ENSMUSG00000022099|Dmtn
ENSMUSG00000030000|Add2
ENSMUSG00000037904|Ankrd9
ENSMUSG00000033685|Ucp2
ENSMUSG00000097615|Gm2061
ENSMUSG00000032679|Cd59a
ENSMUSG00000024588|Fech
ENSMUSG00000043510|Hscb
ENSMUSG00000044337|Ackr3
ENSMUSG00000069814|Ccdc92b
