ENSMUSG00000024231|Cul2
ENSMUSG00000029267|Mtf2
ENSMUSG00000030224|Strap
ENSMUSG00000056962|Jmjd6
ENSMUSG00000021494|Ddx41
ENSMUSG00000019494|Cops6
ENSMUSG00000012848|Rps5
ENSMUSG00000021737|Psmd6
ENSMUSG00000023330|Dtwd1
ENSMUSG00000031954|Cfdp1
ENSMUSG00000031948|Kars
