ENSMUSG00000040363|Bcor
ENSMUSG00000056486|Chn1
ENSMUSG00000041020|Map7d2
ENSMUSG00000022564|Grina
ENSMUSG00000029291|Rufy3
ENSMUSG00000039419|Cntnap2
ENSMUSG00000034818|Celf5
ENSMUSG00000093930|Hmgcs1
ENSMUSG00000028051|Hcn3
ENSMUSG00000024799|Tm7sf2
ENSMUSG00000002083|Bbc3
