ENSMUSG00000039431|Mtmr7
ENSMUSG00000078716|Tmem8b
ENSMUSG00000070476|Fam217b
ENSMUSG00000032307|Ube2q2
ENSMUSG00000024911|Fibp
ENSMUSG00000097131|D230017M19Rik
ENSMUSG00000037533|Rapgef6
ENSMUSG00000073563|Csnk1g3
ENSMUSG00000020955|Ap4s1
ENSMUSG00000038000|Acd
ENSMUSG00000026353|Ubxn4
