ENSMUSG00000037017|Zscan21
ENSMUSG00000031907|Zfp90
ENSMUSG00000024259|Slc25a46
ENSMUSG00000029635|Cdk8
ENSMUSG00000044730|9930104L06Rik
ENSMUSG00000024426|Atat1
ENSMUSG00000028958|Tmub1
ENSMUSG00000028826|Tmem57
ENSMUSG00000013662|Atad1
ENSMUSG00000048920|Fkrp
ENSMUSG00000005078|Jkamp
