ENSMUSG00000033885|Pxk
ENSMUSG00000040836|Gpr161
ENSMUSG00000018820|Zfyve27
ENSMUSG00000031901|Dus2
ENSMUSG00000021770|Samd8
ENSMUSG00000086782|E130102H24Rik
ENSMUSG00000049504|Proser1
ENSMUSG00000025602|Zfp202
ENSMUSG00000042579|4632404H12Rik
ENSMUSG00000045896|Paip2b
ENSMUSG00000020610|Amz2
