ENSMUSG00000066037|Hnrnpr
ENSMUSG00000015757|Ppil4
ENSMUSG00000031939|Taf1d
ENSMUSG00000032621|Srek1
ENSMUSG00000020677|Ddx52
ENSMUSG00000024218|Taf11
ENSMUSG00000030795|Fus
ENSMUSG00000035150|Eif2s3x
ENSMUSG00000025362|Rps26
ENSMUSG00000053774|Ubxn7
ENSMUSG00000027425|Kat14
